sofifa_id,long_name,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,skill_moves,work_rate,body_type,player_tags,team_position
53302,Daniele De Rossi,30,185,83,Italy,Roma,84,84,0,0,Right,2,Medium/High,Normal,#Tactician ,CDM
138956,Giorgio Chiellini,29,186,76,Italy,Juventus,84,84,0,0,Left,2,Medium/High,Normal,"#Tackling , #Strength",SUB
139869,Wesley Sneijder,30,170,67,Netherlands,Galatasaray SK,84,84,0,0,Right,3,Medium/Medium,Normal,"#Playmaker  , #FK Specialist",CAM
146562,Santiago Cazorla González,29,168,66,Spain,Arsenal,84,84,0,0,Right,4,Medium/Medium,Stocky,"#Dribbler, #Acrobat",SUB
148803,Klaas-Jan Huntelaar,30,186,83,Netherlands,FC Schalke 04,84,84,0,0,Right,3,Medium/Medium,Lean,#Poacher,ST
162895,Francesc Fàbregas i Soler,27,179,85,Spain,Chelsea,84,84,0,0,Right,3,High/Medium,Normal,#Playmaker  ,RDM
182493,Diego Godín,28,186,78,Uruguay,Atlético Madrid,84,84,0,0,Right,2,Medium/High,Lean,#Tactician ,LCB
195864,Paul Pogba,21,188,80,France,Juventus,83,89,0,0,Right,4,High/Medium,Lean,"#Distance Shooter, #Strength",LCM
197781,Francisco Román Alarcón Suárez,22,176,74,Spain,Real Madrid,83,88,0,0,Right,3,High/Low,Normal,#Dribbler,SUB
186942,İlkay Gündoğan,23,180,79,Germany,Borussia Dortmund,83,87,0,0,Right,4,High/Medium,Normal,"#Dribbler, #Playmaker  , #Acrobat",SUB
193080,David De Gea Quintana,23,193,82,Spain,Manchester United,83,87,0,0,Right,1,Medium/Medium,Lean,,GK
193082,Juan Cuadrado,26,176,66,Colombia,Fiorentina,83,87,0,0,Right,5,High/Medium,Lean,"#Speedster, #Dribbler, #Acrobat",RW
171833,Daniel Andre Sturridge,24,183,76,England,Liverpool,83,86,0,0,Left,4,Medium/Low,Normal,,SUB
180206,Miralem Pjanić,24,180,74,Bosnia Herzegovina,Roma,83,86,0,0,Right,3,Medium/Medium,Normal,#Playmaker  ,RCM
186561,Aaron Ramsey,23,177,70,Wales,Arsenal,83,86,0,0,Right,3,High/High,Lean,#Engine,RCM
189505,Pedro Eliezer Rodríguez Ledesma,26,169,64,Spain,FC Barcelona,83,86,0,0,Right,4,High/Medium,Normal,,RW
170481,Ezequiel Marcelo Garay,27,188,80,Argentina,Zenit St. Petersburg,83,85,0,0,Right,2,Medium/Medium,Normal,,LCB
170890,Blaise Matuidi,27,175,70,France,Paris Saint-Germain,83,85,0,0,Left,2,High/High,Lean,"#Engine, #Tactician ",LCM
167628,Stéphane Ruffier,27,188,90,France,AS Saint-Étienne,83,84,0,0,Right,1,Medium/Medium,Normal,,GK
168651,Ivan Rakitić,26,184,75,Croatia,FC Barcelona,83,84,0,0,Right,3,Medium/Medium,Normal,#Crosser,RCM
173221,Antonio Candreva,27,181,72,Italy,Lazio,83,84,0,0,Right,4,High/Medium,Lean,#Distance Shooter,RW
2196,Roman Weidenfeller,33,188,85,Germany,Borussia Dortmund,83,83,0,0,Left,1,Medium/Medium,Normal,,GK
13732,John Terry,33,187,90,England,Chelsea,83,83,0,0,Right,2,Medium/High,Normal,,LCB
53612,Per Mertesacker,29,198,90,Germany,Arsenal,83,83,0,0,Right,2,Medium/Medium,Normal,"#Aerial Threat, #Tactician , #Strength",RCB
112253,Jérémy Toulalan,30,183,77,France,AS Monaco,83,83,0,0,Right,2,Medium/High,Normal,#Tactician ,CDM
120533,Képler Laveran Lima Ferreira,31,188,81,Portugal,Real Madrid,83,83,0,0,Right,2,Medium/High,Lean,#Tackling ,RCB
137186,Andrea Barzagli,33,186,79,Italy,Juventus,83,83,0,0,Right,2,Low/High,Normal,"#Tackling , #Tactician ",SUB
140601,Nemanja Vidić,32,190,88,Serbia,Inter,83,83,0,0,Right,2,Medium/High,Normal,#Strength,SUB
142754,Javier Alejandro Mascherano,30,174,74,Argentina,FC Barcelona,83,83,0,0,Right,2,Medium/High,Normal,"#Tackling , #Tactician ",SUB
146439,Álvaro Negredo Sánchez,28,186,79,Spain,Valencia CF,83,83,0,0,Left,3,High/High,Stocky,,SUB
146530,Daniel Alves da Silva,31,173,64,Brazil,FC Barcelona,83,83,0,0,Right,3,High/Low,Normal,,RB
146536,Jesús Navas González,28,170,60,Spain,Manchester City,83,83,0,0,Right,4,Medium/Medium,Lean,"#Speedster, #Acrobat",RM
146748,Diego López Rodríguez,32,196,87,Spain,Milan,83,83,0,0,Right,1,Medium/Medium,Lean,,GK
148119,Igor Akinfeev,28,186,78,Russia,PFC CSKA Moscow,83,83,0,0,Right,1,Medium/Medium,Normal,,GK
158133,Jefferson Agustín Farfán Guadalupe,29,178,84,Peru,FC Schalke 04,83,83,0,0,Right,3,Medium/Low,Normal,#Dribbler,SUB
162347,João Filipe Iria Santos Moutinho,27,171,61,Portugal,AS Monaco,83,83,0,0,Right,3,Medium/Medium,Normal,,RCM
162835,Samir Handanovič,29,193,89,Slovenia,Inter,83,83,0,0,Right,1,Medium/Medium,Normal,,GK
168609,João Miranda de Souza Filho,29,186,76,Brazil,Atlético Madrid,83,83,0,0,Right,2,Medium/Medium,Lean,,RCB
173210,Claudio Marchisio,28,179,76,Italy,Juventus,83,83,0,0,Right,4,High/High,Lean,#Engine,CDM
174543,Claudio Andrés Bravo Muñoz,31,185,84,Chile,FC Barcelona,83,83,0,0,Right,1,Medium/Medium,Normal,,GK
180930,Edin Džeko,28,193,84,Bosnia Herzegovina,Manchester City,83,83,0,0,Right,3,Medium/Medium,Lean,,SUB
181783,Mario Mandžukić,28,187,84,Croatia,Atlético Madrid,83,83,0,0,Right,3,High/High,Lean,"#Aerial Threat, #Strength",SUB
189358,香川 真司,25,172,64,Japan,Borussia Dortmund,83,83,0,0,Right,4,High/Medium,Lean,"#Dribbler, #Acrobat",CAM
189362,Givanildo Vieira de Souza,27,180,85,Brazil,Zenit St. Petersburg,83,83,0,0,Left,4,High/Medium,Stocky,"#Distance Shooter, #Strength",RM
190460,Christian  Dannemann Eriksen,22,177,71,Denmark,Tottenham Hotspur,82,88,0,0,Right,4,High/Medium,Normal,,CAM
192448,Marc-André ter Stegen,22,189,82,Germany,FC Barcelona,82,88,0,0,Right,1,Medium/Medium,Normal,,SUB
194765,Antoine Griezmann,23,176,68,France,Atlético Madrid,82,88,0,0,Left,4,High/Medium,Normal,#Acrobat,LS
169416,Carlos Alberto Vela Garrido,25,177,75,Mexico,Real Sociedad,82,87,0,0,Left,4,High/Low,Normal,#Dribbler,LW
197445,David Olatukunbo Alaba,22,180,75,Austria,FC Bayern München,82,87,0,0,Left,3,High/Medium,Normal,#Acrobat,LCB
200949,Lucas Rodrigues M. Silva,21,172,72,Brazil,Paris Saint-Germain,82,87,0,0,Right,4,Medium/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",SUB
171877,Marek Hamšík,26,183,79,Slovakia,Napoli,82,86,0,0,Right,3,High/Medium,Lean,,CAM
186627,Mario  Barwuah Balotelli,23,188,80,Italy,Liverpool,82,86,0,0,Right,4,Low/Low,Normal,,ST
175943,Dries Mertens,27,169,61,Belgium,Napoli,82,85,0,0,Right,4,High/Medium,Normal,"#Dribbler, #Acrobat",SUB
176676,Marcelo Vieira da Silva Júnior,26,174,75,Brazil,Real Madrid,82,85,0,0,Left,3,High/Medium,Normal,,LB
191202,Nemanja Matić,25,194,84,Serbia,Chelsea,82,85,0,0,Left,3,Medium/High,Lean,#Aerial Threat,LDM
192563,Bernd Leno,22,190,82,Germany,Bayer 04 Leverkusen,82,85,0,0,Right,1,Medium/Medium,Lean,,GK
193747,Jorge Resurrección Merodio,22,178,74,Spain,Atlético Madrid,82,85,0,0,Right,3,High/High,Stocky,#Playmaker  ,RM
196144,Jackson Martínez,27,185,85,Colombia,FC Porto,82,85,0,0,Right,4,High/Medium,Normal,#Strength,ST
162409,Giuseppe Rossi,27,173,72,Italy,Fiorentina,82,84,0,0,Left,3,High/Medium,Normal,,SUB
172723,Asmir Begović,27,200,83,Bosnia Herzegovina,Stoke City,82,84,0,0,Right,1,Medium/Medium,Lean,,GK
172871,Jan Vertonghen,27,189,86,Belgium,Tottenham Hotspur,82,84,0,0,Left,3,High/Medium,Normal,,SUB
172879,Sokratis Papastathopoulos,26,185,85,Greece,Borussia Dortmund,82,84,0,0,Right,2,Medium/Medium,Normal,#Strength,RCB
179784,Benedikt Höwedes,26,187,82,Germany,FC Schalke 04,82,84,0,0,Right,2,Medium/Medium,Normal,,SUB
180403,Willian Borges da Silva,25,175,75,Brazil,Chelsea,82,84,0,0,Right,4,High/High,Lean,"#Dribbler, #Engine, #Acrobat",SUB
183556,Neven Subotić,25,193,88,Serbia,Borussia Dortmund,82,84,0,0,Right,2,Medium/Medium,Lean,#Tackling ,LCB
184144,Osvaldo Nicolás Fabián Gaitán,26,173,67,Argentina,SL Benfica,82,84,0,0,Left,4,Medium/Medium,Normal,"#Dribbler, #Acrobat",LM
188428,Seydou Doumbia,26,178,74,Ivory Coast,PFC CSKA Moscow,82,84,0,0,Right,4,High/Medium,Normal,#Speedster,ST
150724,Joe Hart,27,196,91,England,Manchester City,82,83,0,0,Right,1,Medium/Medium,Normal,,GK
173426,Simon Mignolet,26,193,87,Belgium,Liverpool,82,83,0,0,Right,1,Medium/Medium,Normal,,GK
179944,David Luiz Moreira Marinho,27,189,84,Brazil,Paris Saint-Germain,82,83,0,0,Right,3,High/Medium,Normal,,RCB
185221,Luiz Gustavo Dias,26,187,80,Brazil,VfL Wolfsburg,82,83,0,0,Left,2,Medium/High,Lean,#Tackling ,LDM
1179,Gianluigi Buffon,36,191,83,Italy,Juventus,82,82,0,0,Right,1,Medium/Medium,Normal,,GK
13743,Steven  Gerrard,34,183,83,England,Liverpool,82,82,0,0,Right,3,Medium/Medium,Normal,"#Distance Shooter, #Crosser",LDM
16254,Tim Howard,35,191,88,United States,Everton,82,82,0,0,Right,1,Medium/Medium,Stocky,,GK
20800,Daniel Miguel Alves Gomes,30,178,70,Portugal,Zenit St. Petersburg,82,82,0,0,Right,4,Medium/Low,Lean,,CAM
48717,Júlio César Soares de Espíndola,34,186,79,Brazil,SL Benfica,82,82,0,0,Left,1,Medium/Medium,Normal,,SUB
49370,Thiago Motta,31,187,83,Italy,Paris Saint-Germain,82,82,0,0,Left,3,Medium/Medium,Normal,,CDM
121933,René Adler,29,191,87,Germany,Hamburger SV,82,82,0,0,Right,1,Medium/Medium,Normal,,SUB
136130,Alex Rodrigo Dias da Costa,32,188,92,Brazil,Milan,82,82,0,0,Right,2,Medium/Medium,Stocky,#Strength,RCB
136138,Diego Ribas da Cunha,29,173,73,Brazil,Fenerbahçe SK,82,82,0,0,Right,4,High/Medium,Normal,"#FK Specialist, #Acrobat",CAM
142784,Pablo Javier Zabaleta Girod,29,178,76,Argentina,Manchester City,82,82,0,0,Right,3,High/High,Normal,,RB
146954,Gabriel Fernández Arenas,30,180,74,Spain,Atlético Madrid,82,82,0,0,Right,2,Medium/Medium,Normal,,RCM
150418,Mario Gómez García,28,189,88,Germany,Fiorentina,82,82,0,0,Right,2,Medium/Medium,Normal,"#Poacher, #Strength",ST
152999,Rodrigo Sebastián Palacio,32,175,70,Argentina,Inter,82,82,0,0,Right,3,High/Medium,Lean,,SUB
158625,Dante Bonfim da Costa Santos,30,188,87,Brazil,FC Bayern München,82,82,0,0,Left,3,Medium/Medium,Normal,,SUB
159065,Ezequiel Iván Lavezzi,29,173,75,Argentina,Paris Saint-Germain,82,82,0,0,Right,4,High/Medium,Stocky,#Acrobat,LW
161956,Borja Valero Iglesias,29,175,73,Spain,Fiorentina,82,82,0,0,Right,3,Medium/Medium,Normal,#Playmaker  ,LCM
163631,Leighton Baines,29,170,70,England,Everton,82,82,0,0,Left,3,High/Medium,Normal,#Crosser,LB
163705,Steve Mandanda,29,185,82,France,Olympique de Marseille,82,82,0,0,Right,1,Medium/Medium,Normal,,GK
164169,Filipe Luís Kasmirski,28,182,78,Brazil,Chelsea,82,82,0,0,Left,3,High/Medium,Lean,,SUB
164994,Jakub Błaszczykowski,28,175,71,Poland,Borussia Dortmund,82,82,0,0,Right,3,Medium/Medium,Normal,,SUB
173771,Łukasz Piszczek,29,184,78,Poland,Borussia Dortmund,82,82,0,0,Right,3,High/High,Normal,#Engine,RB
180432,Anderson Hernanes de Carvalho Andrade,29,180,76,Brazil,Inter,82,82,0,0,Right,4,Medium/Medium,Normal,#Distance Shooter,RCM
182494,Fernando Muslera,28,190,77,Uruguay,Galatasaray SK,82,82,0,0,Right,1,Medium/Medium,Lean,,GK
209119,Francisco Amorebielsa,28,194,83,Venezuela,Venezuela,82,82,0,0,Left,2,Medium/High,Lean,"#Aerial Threat, #Strength",
184881,Sofiane Feghouli,24,177,71,Algeria,Valencia CF,81,88,0,0,Right,3,High/Medium,Lean,"#Dribbler, #Acrobat",SUB
201535,Raphaël Varane,21,191,78,France,Real Madrid,81,88,0,0,Right,2,Medium/Medium,Lean,,SUB
212218,Aymeric  Laporte,20,189,85,France,Athletic Club de Bilbao,81,88,0,0,Left,2,Medium/Medium,Lean,,LCB
189242,Philippe Coutinho Correia,22,171,71,Brazil,Liverpool,81,86,0,0,Right,4,High/Medium,Lean,"#Dribbler, #Acrobat",CAM
189509,Thiago Alcântara do Nascimento,23,172,70,Spain,FC Bayern München,81,86,0,0,Right,4,Medium/Medium,Normal,"#Dribbler, #Acrobat",SUB
192985,Kevin De Bruyne,23,181,76,Belgium,VfL Wolfsburg,81,86,0,0,Right,4,High/Medium,Normal,,LM
164859,Theo  Walcott,25,176,68,England,Arsenal,81,85,0,0,Right,3,High/Low,Lean,#Speedster,SUB
189332,Jordi Alba Ramos,25,170,69,Spain,FC Barcelona,81,85,0,0,Left,3,High/Medium,Normal,"#Speedster, #Acrobat",LB
189461,Jack Wilshere,22,172,68,England,Arsenal,81,85,0,0,Left,3,Medium/Medium,Normal,,LCM
189712,Kevin Strootman,24,186,78,Netherlands,Roma,81,85,0,0,Left,2,High/High,Normal,#Engine,SUB
192883,Henrikh Mkhitaryan,25,178,72,Armenia,Borussia Dortmund,81,85,0,0,Right,4,High/High,Lean,"#Dribbler, #Acrobat",RM
201942,Roberto Firmino Barbosa de Oliveira,22,181,76,Brazil,TSG 1899 Hoffenheim,81,85,0,0,Right,4,Medium/Medium,Lean,#Dribbler,CAM
170369,Giovani dos Santos Ramírez,25,175,74,Mexico,Villarreal CF,81,84,0,0,Left,4,High/Low,Normal,"#Dribbler, #Acrobat",SUB
170797,Nuri Şahin,25,180,72,Turkey,Borussia Dortmund,81,84,0,0,Left,3,High/Medium,Lean,,SUB
172610,Leandro Castán da Silva,27,184,80,Brazil,Roma,81,84,0,0,Left,2,Medium/High,Normal,,LCB
177457,Lars Bender,25,184,77,Germany,Bayer 04 Leverkusen,81,84,0,0,Right,2,High/High,Lean,"#Engine, #Tactician ",RDM
181820,Stevan Jovetić,24,183,79,Montenegro,Manchester City,81,84,0,0,Right,4,High/Medium,Normal,,SUB
189574,Ander Iturraspe Derteano,25,187,75,Spain,Athletic Club de Bilbao,81,84,0,0,Right,2,High/Medium,Lean,#Tactician ,RCM
189963,Wilfried Guemiand Bony,25,182,91,Ivory Coast,Swansea City,81,84,0,0,Right,3,Medium/Low,Stocky,#Strength,ST
193130,André Schürrle,23,183,72,Germany,Chelsea,81,84,0,0,Right,4,Medium/Medium,Lean,#Dribbler,RM
170733,Gervais Lombe Yao Kouassi,27,179,68,Ivory Coast,Roma,81,83,0,0,Right,3,High/Medium,Lean,"#Speedster, #Acrobat",LW
177458,Sven Bender,25,185,72,Germany,Borussia Dortmund,81,83,0,0,Right,2,High/High,Lean,"#Engine, #Tackling , #Tactician ",RDM
178224,Javier Hernández Balcázar,26,175,71,Mexico,Real Madrid,81,83,0,0,Right,3,Medium/Low,Normal,#Poacher,SUB
183285,Mamadou Sakho,24,187,83,France,Liverpool,81,83,0,0,Left,2,Medium/High,Normal,#Strength,LCB
139068,Luís Carlos Almeida da Cunha,27,175,66,Portugal,Sporting CP,81,82,0,0,Right,5,High/Low,Lean,"#Dribbler, #Acrobat",LW
184943,Ramires Santos do Nascimento,27,180,70,Brazil,Chelsea,81,82,0,0,Right,3,High/High,Lean,#Engine,SUB
9676,Samuel Eto'o Fils,33,179,75,Cameroon,Everton,81,81,0,0,Right,4,Medium/Medium,Lean,,SUB
11141,Miroslav Klose,36,184,84,Germany,Lazio,81,81,0,0,Right,2,Medium/Low,Lean,#Poacher,SUB
24630,José Manuel  Reina Páez,31,188,92,Spain,FC Bayern München,81,81,0,0,Right,1,Medium/Medium,Normal,,SUB
30110,Dimitar Ivanov Berbatov,33,189,75,Bulgaria,AS Monaco,81,81,0,0,Right,4,Low/Low,Lean,#Poacher,ST
31432,Didier Yves Drogba Tébily,36,188,85,Ivory Coast,Chelsea,81,81,0,0,Right,3,Medium/Medium,Normal,,SUB
34079,Ashley Cole,33,176,66,England,Roma,81,81,0,0,Left,3,High/Medium,Normal,,LB
45574,Rafael van der Vaart,31,176,74,Netherlands,Hamburger SV,81,81,0,0,Left,3,Medium/Medium,Normal,,SUB
49369,Fernando José Torres Sanz,30,186,78,Spain,Milan,81,81,0,0,Right,3,Medium/Medium,Normal,,SUB
53578,Nigel de Jong,29,174,72,Netherlands,Milan,81,81,0,0,Right,2,Low/High,Normal,,CDM
116494,Cédric Carrasso,32,187,87,France,FC Girondins de Bordeaux,81,81,0,0,Right,1,Medium/Medium,Normal,,GK
135475,Felipe Melo de Carvalho,31,183,80,Brazil,Galatasaray SK,81,81,0,0,Right,3,Medium/High,Normal,,SUB
135507,Fernando Luiz Rosa,29,176,67,Brazil,Manchester City,81,81,0,0,Right,3,Medium/High,Lean,,RDM
137262,Stefan Kießling,30,191,80,Germany,Bayer 04 Leverkusen,81,81,0,0,Right,2,High/High,Lean,#Engine,ST
143306,Tolga Zengin,30,192,90,Turkey,Beşiktaş JK,81,81,0,0,Right,1,Medium/Medium,Normal,,GK
146758,Roberto Soldado Rillo,29,179,72,Spain,Tottenham Hotspur,81,81,0,0,Right,3,Medium/Low,Normal,,SUB
148711,Ânderson Luís da Silva,33,192,81,Brazil,SL Benfica,81,81,0,0,Right,2,Low/Medium,Lean,,RCB
152039,Daniel Munthe Agger,29,191,79,Denmark,Brøndby IF,81,81,0,0,Left,2,High/Medium,Normal,,SUB
155897,Clint Dempsey,31,185,84,United States,Seattle Sounders FC,81,81,0,0,Right,4,Medium/Medium,Normal,,RS
159287,Riccardo Montolivo,29,182,79,Italy,Milan,81,81,0,0,Right,2,Medium/Medium,Lean,,SUB
162131,Fernando Javier Llorente Torres,29,195,90,Spain,Juventus,81,81,0,0,Right,2,Medium/Medium,Normal,"#Aerial Threat, #Strength",LS
164435,Mbark Boussoufa,29,167,61,Morocco,Lokomotiv Moscow,81,81,0,0,Right,5,Medium/Medium,Lean,"#Dribbler, #Acrobat",SUB
164468,Gary Cahill,28,193,86,England,Chelsea,81,81,0,0,Right,2,Medium/Medium,Lean,,RCB
165229,Laurent Koscielny,28,186,75,France,Arsenal,81,81,0,0,Right,2,Medium/High,Lean,,LCB
